# expiration, strike, call_price
0.10000, 0.65000, 0.35002
0.10000, 0.70000, 0.30009
0.10000, 0.75000, 0.25031
0.10000, 0.80000, 0.20100
0.10000, 0.85000, 0.15296
0.10000, 0.90000, 0.10787
0.10000, 0.95000, 0.06853
0.10000, 1.00000, 0.03805
0.10000, 1.05000, 0.01804
0.10000, 1.10000, 0.00727
0.10000, 1.15000, 0.00253
0.10000, 1.20000, 0.00079
0.10000, 1.25000, 0.00023
0.10000, 1.30000, 0.00006
0.10000, 1.35000, 0.00002
0.15000, 0.65000, 0.35022
0.15000, 0.70000, 0.30054
0.15000, 0.75000, 0.25131
0.15000, 0.80000, 0.20302
0.15000, 0.85000, 0.15663
0.15000, 0.90000, 0.11372
0.15000, 0.95000, 0.07639
0.15000, 1.00000, 0.04672
0.15000, 1.05000, 0.02577
0.15000, 1.10000, 0.01284
0.15000, 1.15000, 0.00586
0.15000, 1.20000, 0.00252
0.15000, 1.25000, 0.00104
0.15000, 1.30000, 0.00043
0.15000, 1.35000, 0.00017
0.20000, 0.65000, 0.35072
0.20000, 0.70000, 0.30147
0.20000, 0.75000, 0.25293
0.20000, 0.80000, 0.20570
0.20000, 0.85000, 0.16071
0.20000, 0.90000, 0.11935
0.20000, 0.95000, 0.08328
0.20000, 1.00000, 0.05409
0.20000, 1.05000, 0.03255
0.20000, 1.10000, 0.01823
0.20000, 1.15000, 0.00963
0.20000, 1.20000, 0.00489
0.20000, 1.25000, 0.00244
0.20000, 1.30000, 0.00121
0.20000, 1.35000, 0.00061
0.25000, 0.65000, 0.35157
0.25000, 0.70000, 0.30283
0.25000, 0.75000, 0.25502
0.25000, 0.80000, 0.20874
0.25000, 0.85000, 0.16490
0.25000, 0.90000, 0.12469
0.25000, 0.95000, 0.08952
0.25000, 1.00000, 0.06063
0.25000, 1.05000, 0.03869
0.25000, 1.10000, 0.02338
0.25000, 1.15000, 0.01354
0.25000, 1.20000, 0.00764
0.25000, 1.25000, 0.00427
0.25000, 1.30000, 0.00239
0.25000, 1.35000, 0.00135
0.30000, 0.65000, 0.35272
0.30000, 0.70000, 0.30452
0.30000, 0.75000, 0.25740
0.30000, 0.80000, 0.21198
0.30000, 0.85000, 0.16908
0.30000, 0.90000, 0.12978
0.30000, 0.95000, 0.09526
0.30000, 1.00000, 0.06659
0.30000, 1.05000, 0.04434
0.30000, 1.10000, 0.02828
0.30000, 1.15000, 0.01748
0.30000, 1.20000, 0.01061
0.30000, 1.25000, 0.00641
0.30000, 1.30000, 0.00390
0.30000, 1.35000, 0.00240
0.35000, 0.65000, 0.35414
0.35000, 0.70000, 0.30646
0.35000, 0.75000, 0.26000
0.35000, 0.80000, 0.21533
0.35000, 0.85000, 0.17322
0.35000, 0.90000, 0.13463
0.35000, 0.95000, 0.10061
0.35000, 1.00000, 0.07211
0.35000, 1.05000, 0.04962
0.35000, 1.10000, 0.03297
0.35000, 1.15000, 0.02138
0.35000, 1.20000, 0.01370
0.35000, 1.25000, 0.00877
0.35000, 1.30000, 0.00566
0.35000, 1.35000, 0.00370
0.40000, 0.65000, 0.35578
0.40000, 0.70000, 0.30860
0.40000, 0.75000, 0.26274
0.40000, 0.80000, 0.21872
0.40000, 0.85000, 0.17727
0.40000, 0.90000, 0.13927
0.40000, 0.95000, 0.10567
0.40000, 1.00000, 0.07729
0.40000, 1.05000, 0.05460
0.40000, 1.10000, 0.03747
0.40000, 1.15000, 0.02523
0.40000, 1.20000, 0.01685
0.40000, 1.25000, 0.01128
0.40000, 1.30000, 0.00762
0.40000, 1.35000, 0.00522
